FMID,MarketName,street,city,County,State,zip,Season1_Start_Date,Season1_End_Date,Season1Time,Season2_Start_Date,Season2_End_Date,Season2Time,Season3_Start_Date,Season3_End_Date,Season3Time,Season4_Start_Date,Season4_End_Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1009994,18TH STREET FARMERS MARKET,18TH AND BROADWAY,SCOTTSBLUFF,SCOTTS BLUFF,NEBRASKA,69361,06/07/2014,09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,,,,-103.662538,41.864268,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,2016-06-29T16:32:46Z
1018365,18TH STREET FARMERS MARKET,825 18TH STREET,CHARLESTON,COLES,ILLINOIS,61920,05/20/2017,09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,,,,-88.1622392,39.4907144,,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2017-06-23T08:02:15Z
1012790,19/27 COMMUNITY FARMERS MARKET,NE 7TH AVE,CHIEFLAND,LEVY,FLORIDA,32626,09/03/2016,06/24/2017,Sat: 8:30 AM-1:00 PM;,09/02/2017,06/30/2018,Sat: 8:30 AM-1:00 PM;,,,,,,,-82.8578732,29.4848541,,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,2016-08-19T16:07:34Z
1012158,21 ACRES FARM MARKET,13701 NE 171ST STREET,WOODINVILLE,KING,WASHINGTON,98072,01/01/2016,12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,,,,-122.1569875,47.7502397,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,2016-06-30T19:50:56Z
1010873,21ST STREET FARMERS MARKET,SW 21ST AND OAKLEY,TOPEKA,SHAWNEE,KANSAS,66604,06/05/2015,10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,,,,,-95.714514,39.028184,,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,2015-03-02T10:46:33Z
1005309,22ND AND TASKER FARMERS MARKET,22ND AND TASKER STREETS,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19146,06/01/2015,11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,,,,-75.181286,39.932257,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:29:42Z
1000709,22ND ANNUAL HIGHLANDS BUSINESS PARTNERSHIP FARMERS MARKET,71 WATERWITCH AVENUE,HIGHLANDS,MONMOUTH,NEW JERSEY,07732,06/25/2016,11/05/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,,,,-73.994358,40.404837,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,2016-07-06T14:37:36Z
1011881,25TH STREET MARKET  NORTH LOGAN AT THE LIBRARY SUMMER 2016,475 EAST 2500 NORTH,NORTH LOGAN,CACHE,UTAH,84341,05/07/2016,10/15/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,,,,-111.8206049,41.7782437,,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,2016-04-18T10:33:41Z
1010966,26TH AND ALLEGHENY,26TH STREET AND W ALLEGHENY AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19129,06/01/2015,11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,,,,-75.1722883,40.0040946,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:17:20Z
1005299,29TH AND WHARTON FARMERS MARKET,29TH AND WHARTON STREETS,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19146,06/01/2015,11/15/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,,,,-75.19204,39.9373,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:47:10Z
1010994,2ND STREET FARMERS MARKET,194 SECOND STREET,AMHERST,AMHERST,VIRGINIA,24521,05/05/2016,09/01/2016,Thu: 3:30 PM-6:30 PM;,,,,,,,,,,-79.048573,37.583311,,Y,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,2016-03-04T13:51:55Z
1009959,2ND STREET MARKET  FIVE RIVERS METROPARK,600 E 2ND STREET,DAYTON,MONTGOMERY,OHIO,45402,01/01/2016,12/31/2016,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,,,,,-84.18103,39.762593,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,2016-06-30T14:35:22Z
1004950,3 FRENCH HENS FRENCH COUNTRY MARKET,123 W ILLINOIS AVE,MORRIS,GRUNDY,ILLINOIS,60450,05/10/2014,10/11/2014,Sat: 8:00 AM-2:00 PM;,11/14/2014,11/15/2014,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,,,-88.425186,41.356383,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,2014-04-04T23:58:41Z
1010775,30A FARMERS MARKET,ROSMARY BEACH TOWN CENTER,ROSEMARY BEACH,WALTON,FLORIDA,32461,01/18/2015,01/05/2020,Sun: 9:00 AM-1:00 PM;,,,,,,,,,,-86.002754,30.279017,,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,2015-01-16T18:38:15Z
1018656,31  AND  MAIN FARMERS MARKET AT CAMPUS TOWN,1928 PENNINGTON ROAD,EWING,MERCER,NEW JERSEY,08618,06/11/2017,10/29/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,,,,-74.783289,40.268253,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2017-07-12T13:42:22Z
1005636,32ND STREET/WAVERLY FARMERS MARKET,E 32ND  AND  BARCLAY STREET,BALTIMORE,BALTIMORE,MARYLAND,21218,01/01/2013,12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,,,,-76.611,39.3272,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2014-03-14T13:23:50Z
1005310,33RD AND DIAMOND FARMERS MARKET,N 33RD AND DIAMOND STREETS,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19121,06/01/2015,11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,,,,,-75.187167,39.988802,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:28:01Z
1018389,38TH  AND  MERIDIAN FARMERS MARKET,3808 N MERIDIAN ST,INDIANAPOLIS,MARION,INDIANA,46208,06/01/2017,09/21/2017,Thu: 4:00 PM-6:30 PM;,,,,,,,,,,-86.1575468,39.8255595,,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,2017-06-26T08:19:14Z
1012280,39 NORTH MARKETPLACE,DOWNTOWN SPARKS VICTORIAN AVE,SPARKS,WASHOE,NEVADA,89431,06/09/2016,08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,,,,-119.754962,39.534773,,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,2016-07-06T17:19:49Z
1004414,3RD  AND  CURRY ST FARMERS MARKET,3RD  AND  CURRY STREET,CARSON CITY,CARSON CITY,NEVADA,89703,June,September,Sat:8:30 AM - 1:30 PM;,,,,,,,,,,-119.7678,39.16257,Local government building grounds,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-05-18T16:12:09Z
1011213,441 MINISTRIES FARM STAND,441 PARSELLS AVENUE,ROCHESTER,MONROE,NEW YORK,14609,,,Tue: 3:00 PM-7:00 PM;,,,,,,,,,,-77.5666043,43.1658344,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-06-08T09:22:25Z
1010965,4TH AND LEHIGH FARMERS MARKET,N 4TH STREET AND W LEHIGH AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19133,06/01/2015,11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,,,,,-75.138654,39.991748,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:11:40Z
1006234,4TH STREET FARMERS MARKET,315 EAST 4TH ST,LARIMER,,COLORADO,,,,,,,,,,,,,,-105.073,40.3954,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01T00:00:00Z
1006494,52  AND  SHADELAND AVENUE FARMERS MARKET,5200 N SHADELAND AVENUE,INDIANAPOLIS,,INDIANA,46226,,,,,,,,,,,,,-86.0476,39.8481,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01T00:00:00Z
1005304,52ND AND HAVERFORD FARMERS MARKET,N 52ND STREET AND HAVERFORD AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19139,06/01/2015,11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,,,,-75.224492,39.965054,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:38:14Z
1000060,57TH STREET GREENMARKET,W 57 ST  AND  9 AVE,NEW YORK,NEW YORK,NEW YORK,10019,04/20/2013,12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,,,,-73.985839,40.768159,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T11:06:00Z
1005306,58TH AND CHESTER FARMERS MARKET,58TH STREET AND CHESTER AVENUE,PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,19143,06/01/2015,11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,,,,-75.228303,39.935721,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:35:04Z
1018426,61ST STREET FARMERS MARKET,61ST STREET AND DORCHESTER AVE,CHICAGO,COOK,ILLINOIS,60637,05/13/2017,12/16/2017,Sat: 9:00 AM-2:00 PM;,,,,,,,,,,-87.5914206,41.7841961,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,2017-06-27T13:04:53Z
1012500,6TH STREET MARKET IN DOWNTOWN TEMPE,6TH STREET AND MILL AVENUE,TEMPE,MARICOPA,ARIZONA,85281,10/02/2016,05/28/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,,,,-111.939512,33.42442,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,2016-07-12T15:50:15Z
1000061,79TH STREET GREENMARKET,COLUMBUS - W 78  AND  81 STS,NEW YORK,NEW YORK,NEW YORK,10024,01/01/2013,12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,,,,-73.9757,40.7818,Other,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:54:51Z
1000062,82ND STREET GREENMARKET,E 82ND ST - 1ST  AND  YORK AVE,NEW YORK,NEW YORK,NEW YORK,10028,01/01/2013,12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,,,,-73.95009,40.773749,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:50:27Z
1008391,84 WEST FARMERS MARKET (DOTHAN),,DOTHAN,HOUSTON,ALABAMA,,06/06/2013,08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,,,,,-85.449944,31.232252,,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2014-03-15T09:29:24Z
1001961,8TH AVENUE CITY FARMERS MARKET,8TH AVE  AND  2ND ST SE,CEDAR RAPIDS,LINN,IOWA,52401,May,October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,,,,,-91.6626534,41.972837,Local government building grounds,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,2012-04-25T13:17:22Z
1000063,92ND STREET GREENMARKET,1ST AVE - E 92ND  AND  93 STS,NEW YORK,NEW YORK,NEW YORK,10128,06/23/2013,11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,,,,,-73.946421,40.780931,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:43:59Z
1000064,97TH STREET GREENMARKET,W 97 ST  AND  COLUMBUS,NEW YORK,NEW YORK,NEW YORK,10025,01/01/2013,12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,,,,,-73.967012,40.79356,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T10:39:55Z
1011989,9TH AND GRAND FARMERS MARKET,304 WEST GRAND AVENUE,SALINA,SALINE,KANSAS,67401,05/10/2016,09/27/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,,,,-97.6117504,38.8528359,,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,2016-05-28T15:39:24Z
1000986,9TH WEST FARMERS MARKET/PEOPLES MARKET,1060 SOUTH 900 WEST,SALT LAKE CITY,SALT LAKE,UTAH,84110,05/12/2013,10/20/2013,Sun: 9:00 AM-2:00 PM;,06/26/2016,08/01/2016,,,,,,,,-111.9195223,40.7470177,,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,2016-06-28T01:05:51Z
1010617,A + ORGANIC FARMERS MARKET,LEE RD FARM,BOYNTON BEACH,PALM BEACH,FLORIDA,33473,,,,,,,,,,,,,-80.221052,26.489351,,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,2014-09-29T13:37:38Z
1001683,A BETTER CHOICE BAKERY  AND  MARKET,27 W POTOMAC STREET,BRUNSWICK,FREDERICK,MARYLAND,21716,January,December,Mon:12:00 PM - 5:00 PM;Tue:12:00 PM - 5:00 PM;Wed:12:00 PM - 5:00 PM;Thu:12:00 PM - 5:00 PM;Fri:12:00 PM - 5:00 PM;Sat:10:00 AM - 5:00 PM;sun:12:00 PM - 5:00 PM;,,,,,,,,,,-77.6277075,39.313066,Co-located with wholesale market facility,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-05-03T17:01:00Z
1009004,A GROWERS MARKET,229 LAKE ELLA DRIVE,TALLAHASSEE,LEON,FLORIDA,32303,01/01/2014,12/31/2014,Wed: 3:00 PM-6:30 PM;,,,,,,,,,,-84.2792304,30.4624713,Other,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2014-05-06T22:28:06Z
1001887,AAFFA COMMUNITY FARMERS MARKET,402 NORTH MURRAY AVENUE,ANDERSON,ANDERSON,SOUTH CAROLINA,29624,05/06/2014,09/23/2014,Tue: 5:00 PM-8:00 PM;,,,,,,,,,,-82.652159,34.506706,Local government building grounds,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,2014-04-08T13:54:22Z
1007585,AAMC FARMERSS MARKET,2001 MEDICAL PARKWAY SAJAK PAVILION,ANNAPOLIS,ANNE ARUNDEL,MARYLAND,21401,,,,,,,,,,,,,-76.6123,39.006,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-23T23:54:21Z
1009028,ABBEVILLE FARMERS MARKET,KIRKLAND STREET,ABBEVILLE,HENRY,ALABAMA,,06/06/2014,07/25/2014,Fri: 3:00 PM-6:00 PM;,,,,,,,,,,-85.250365,31.571271,,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-05T19:27:30Z
1004573,ABBEVILLE FARMERS MARKET,118 TRINITY STREET AT LIVERY STABLE,ABBEVILLE,ABBEVILLE,SOUTH CAROLINA,29620,06/06/2013,10/04/2013,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,,,,,,,,,,-82.380242,34.177429,Local government building grounds,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2013-07-11T13:41:58Z
1004598,ABBOTSFORD FARMERS MARKET,1011 EAST SPRUCE ST,ABBOTSFORD,CLARK,WISCONSIN,54405,May,October,Tue:1:30 PM - 5:30 PM;,,,,,,,,,,-90.307145,44.945665,Private business parking lot,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,2012-05-07T10:47:54Z
